id,tipo_doc,titulo,autor,anio,nombre_revista_compilacion,url,editorial_institucion,lugar,temas,img,file_img
35,bookSection,Ciudadelas tecnológicas para la incubación de economías de conocimiento,"León, Cristian",2016,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,https://www.academia.edu/36033005/Bolivia_Digital_15_miradas_acerca_de_Internet_y_Sociedad_en_Bolivia,,,"política,políticas públicas",https://labtecnosocial.org/explora-bib/digital/leon2016.png,leon2016.png
36,journalArticle,Las redes sociales: de medios de comunicación a espacios sociales,"Ojeda, Alex",2016,Traspatios. Revista de Ciencias Sociales,https://www.academia.edu/26935587/Las_redes_sociales_de_medios_de_comunicaci%C3%B3n_a_espacios_sociales,,,"sociedad civil,comunicación",https://labtecnosocial.org/explora-bib/digital/ojeda2016a.png,ojeda2016a.png
37,journalArticle,Internet: de las metáforas y las caracterizaciones disciplinarias al modelo tecnosociológico,"Ojeda, Alex",2016,Decursos,https://www.academia.edu/28550643/Internet_de_las_met%C3%A1foras_y_las_caracterizaciones_disciplinarias_al_modelo_tecnosociol%C3%B3gico,,,"sociedad civil,teoría",https://labtecnosocial.org/explora-bib/digital/ojeda2016b.png,ojeda2016b.png
38,journalArticle,Cohesión e interacción en grupos de facebook: el caso de los grupos de sociología y antropología de la UMSS,"Ojeda, Alex",2016,Punto Cero,https://www.academia.edu/12738195/Cohesi%C3%B3n_e_interacci%C3%B3n_en_grupos_de_Facebook,,,"sociedad civil,grupos civiles",https://labtecnosocial.org/explora-bib/digital/ojeda2016c.png,ojeda2016c.png
39,bookSection,El acceso y el uso de Internet en Bolivia: antiguas y nuevas desigualdades,"Ortuño, Armando",2016,Bolivia Digital. 15 Miradas acerca del Internet y Sociedad en Bolivia,https://internetbolivia.org/file/2017/05/Ortu%25C3%25B1o-merged.pdf,CIS,La Paz,"acceso,brecha digital",https://labtecnosocial.org/explora-bib/digital/ortuno2016.png,ortuno2016.png
40,bookSection,Política ciudadana digital en Bolivia: una esfera pública en conflicto,"Quiroz, Eliana",2016,Bolivia digital. 15 miradas acerca de Internet y sociedad en Bolivia,https://internetbolivia.org/wp-content/uploads/2017/05/Quiroz-merged.pdf,CIS,La Paz,"accion colectiva,ciberactivismo,participación",https://labtecnosocial.org/explora-bib/digital/quiroz2016.png,quiroz2016.png
41,bookSection,Soberanía tecnológica en Bolivia y gobernanza de Internet,"Quiroz, Eliana; León, Cristian; Calizaya, Esteban",2016,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,https://internetbolivia.org/file/2017/05/Gobernanza-merged.pdf,,,"política,gobernanza,soberanía tecnológica",https://labtecnosocial.org/explora-bib/digital/quirozcalizayaleon2016.png,quirozcalizayaleon2016.png
42,bookSection,Urbanitas en red: construcción de ciudadanía transnacional a partir de las TIC: estudio de caso de tres comunidades virtuales de migrantes en Facebook,"Ramirez, Alejandra",2016,Intersecciones urbanas. Ciudad transnacional / ciudad global,https://www.researchgate.net/publication/330657902_INTERSECCIONES_URBANAS_CIUDAD_TRANSNACIONAL_CIUDAD_GLOBAL,Universidad Autónoma Metropolitana Unidad Iztapalapa,México,"sociedad civil,ciudadanía,familias transnacionales",https://labtecnosocial.org/explora-bib/digital/ramirez2009.png,ramirez2009.png
43,document,Auditoria de la internet estatal,"Rivero Oistoc, Álvaro Rivero",2016,,https://datospdf.com/download/derecho-a-la-informacion-y-nuevas-tecnologias-de-comunicacion-en-bolivia-auditoria-de-la-internet-estatal-_5ae63bf7b7d7bcf338f4e4c2_pdf,CERES,,"política,información pública",https://labtecnosocial.org/explora-bib/digital/rivero2016.png,rivero2016.png
44,bookSection,La industria del software en Bolivia: oportunidades y retos,"Rosell, Pablo",2016,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,https://www.academia.edu/36033005/Bolivia_Digital_15_miradas_acerca_de_Internet_y_Sociedad_en_Bolivia,CIS,La Paz,"economía,industria del software",https://labtecnosocial.org/explora-bib/digital/rosell2016.png,rosell2016.png
45,bookSection,"Gestión de saberes y derechos culturales en Internet: uso, apropiación y relevancia social de la tecnología en Bolivia","Rozo, Bernardo",2016,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,https://internetbolivia.org/file/2017/05/Rozo-merged.pdf,,,"sociedad civil,consumo cultural",https://labtecnosocial.org/explora-bib/digital/rozo2016.png,rozo2016.png
46,bookSection,La revolución tecnológica de Internet y la necesidad de generar derecho,"Toro, Sergio",2016,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,https://www.academia.edu/36033005/Bolivia_Digital_15_miradas_acerca_de_Internet_y_Sociedad_en_Bolivia,,,"política,derecho",https://labtecnosocial.org/explora-bib/digital/toro2016.png,toro2016.png
47,bookSection,Mercado de software en Cochabamba: forjar nuevos caminos,"Uribe, Juan Carlos",2016,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,https://www.academia.edu/36033005/Bolivia_Digital_15_miradas_acerca_de_Internet_y_Sociedad_en_Bolivia,CIS,La Paz,"economía,industria del software",https://labtecnosocial.org/explora-bib/digital/uribe2016.png,uribe2016.png
48,bookSection,Bolivia en el espacio: el satélite Túpac Katari,"Zurita, Adriana",2016,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,https://www.academia.edu/36033005/Bolivia_Digital_15_miradas_acerca_de_Internet_y_Sociedad_en_Bolivia,,,acceso,https://labtecnosocial.org/explora-bib/digital/zurita2016.png,zurita2016.png
49,book,Resultados finales. Encuesta nacional de opinión sobre tecnologías de información y comunicación (TIC),AGETIC,2017,,https://es.scribd.com/document/368097703/Encuesta-Nacional-de-Opinion-sobre-Tecnologias-de-Informacion-y-Comunicacion,AGETIC,La Paz,"acceso,digitalización",https://labtecnosocial.org/explora-bib/digital/agetic2017.png,agetic2017.png
50,journalArticle,Movimientos sociales e Internet: de la política centralizada a la política distribuida,"Ojeda, Alex",2017,Punto Cero,https://www.academia.edu/36232225/Movimientos_sociales_e_Internet_de_la_pol%C3%ADtica_centralizada_a_la_pol%C3%ADtica_distribuida,,,"sociedad civil,accion colectiva",https://labtecnosocial.org/explora-bib/digital/ojeda2017b.png,ojeda2017b.png
51,journalArticle,"Sectas y legiones en facebook: Comunidad virtual, cibercultura e identidad en la juventud digital","Ojeda, Alex",2017,Decursos,https://www.academia.edu/36068188/Sectas_y_legiones_en_facebook_Comunidad_virtual_cibercultura_e_identidad_en_la_juventud_digital,,,"cibercultura,grupos civiles,juventud",https://labtecnosocial.org/explora-bib/digital/ojeda2017c.png,ojeda2017c.png
52,journalArticle,La nueva ciudadanía (en red) en Bolivia,"Ojeda, Alex",2017,Cuarto Intermedio,https://www.academia.edu/35470165/La_nueva_ciudadan%C3%ADa_en_red_en_Bolivia,,,"sociedad civil,accion colectiva,ciudadanía",https://labtecnosocial.org/explora-bib/digital/ojeda2017a.png,ojeda2017a.png
53,conferencePaper,Internet y sociedad como objeto de estudio en Bolivia: nueve perspectivas teóricas,"Quiroz, Eliana",2017,,https://www.academia.edu/43767324/Internet_y_sociedad_como_objeto_de_estudio_en_Bolivia_nueve_perspectivas_te%C3%B3ricas,,,digitalización,https://labtecnosocial.org/explora-bib/digital/quiroz2017.png,quiroz2017.png
54,bookSection,Empresas de desarrollo de software en Cochabamba,"Suaznabar, Fernando",2017,Bolivia digital: 15 miradas acerca de internet y sociedad en Bolivia,http://www.iese.umss.edu.bo/uploads/docs/investigacion_1517337813.pdf,,,economía,https://labtecnosocial.org/explora-bib/digital/suaznabar2017.png,suaznabar2017.png
55,journalArticle,La promesa de transparencia y su realidad en el Estado boliviano,"Abal, Naira",2018,Andamios 7. ¿Qué hacen las tecnologías de información y comunicación con las democracias?,https://www.oep.org.bo/wp-content/uploads/2018/09/revista-andamios_nro_7.pdf,,,política,https://labtecnosocial.org/explora-bib/digital/abal2018.png,abal2018.png
56,bookSection,Infraestructura y conectividad,"Cabero, Patricia",2018,EstadoTIC. Estado de las Tecnologías de Información y Comunicación en el Estado Plurinacional de Bolivia,https://drive.google.com/file/d/1fVyR__tdwU77CnKsSC1qDOjWKObd6U9R/view,,,"acceso,infraestructura",https://labtecnosocial.org/explora-bib/digital/cabero2018.png,cabero2018.png
57,blogPost,"Coy 391 - La industria digital en Bolivia, una apuesta de futuro",Fundación Milenio,2018,Fundación Milenio - Economía,https://fundacion-milenio.org/coy-391-la-industria-digital-en-bolivia-una-apuesta-de-futuro/,,,economía,https://labtecnosocial.org/explora-bib/digital/milenio391.png,milenio391.png
58,bookSection,Mujeres y ciencias y tecnologías,"García, Carmiña",2018,EstadoTIC. Estado de las Tecnologías de Información y Comunicación en el Estado Plurinacional de Bolivia,https://drive.google.com/file/d/1fVyR__tdwU77CnKsSC1qDOjWKObd6U9R/view,,,"sociedad civil,mujeres",https://labtecnosocial.org/explora-bib/digital/garcia2018.png,garcia2018.png
59,journalArticle,"Si los medios callan, las redes hablan ¿Se habla en las redes?","Gutiérrez, Fabiola",2018,Andamios 7. ¿Qué hacen las tecnologías de información y comunicación con las democracias?,https://www.oep.org.bo/wp-content/uploads/2018/09/revista-andamios_nro_7.pdf,,,sociedad civil,https://labtecnosocial.org/explora-bib/digital/gutierrez2018.png,gutierrez2018.png
60,journalArticle,"Actores políticos, redes sociales digitales y microsegmentación: escenarios electorales 2019","Jordán, Wilfredo",2018,Andamios 7. ¿Qué hacen las tecnologías de información y comunicación con las democracias?,https://www.oep.org.bo/wp-content/uploads/2018/09/revista-andamios_nro_7.pdf,,,"política,elecciones",https://labtecnosocial.org/explora-bib/digital/jordan2018.png,jordan2018.png
61,bookSection,Las redes sociales,"Jordán, Wilfredo",2018,EstadoTIC. Estado de las Tecnologías de Información y Comunicación en el Estado Plurinacional de Bolivia,https://drive.google.com/file/d/1fVyR__tdwU77CnKsSC1qDOjWKObd6U9R/view,,,"participación,redes sociales digitales",https://labtecnosocial.org/explora-bib/digital/jordan2018b.png,jordan2018b.png
